Model	SNP1	SNP2	a	b	c	d	OR	Lower_CI	Upper_CI	chi_square	chi_pvalue
(AA+Aa)*(BB)_vs_other	0	47	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	48	4	46	3	47	1.362319	0.288806	6.426151	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	0	49	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	50	9	41	5	45	1.975610	0.611770	6.379904	0.747508	0.387266
(AA+Aa)*(BB)_vs_other	0	51	4	46	3	47	1.362319	0.288806	6.426151	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	0	52	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	53	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	54	4	46	3	47	1.362319	0.288806	6.426151	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	0	55	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	0	56	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	57	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
(AA+Aa)*(BB)_vs_other	0	58	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	59	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	60	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	61	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	62	4	46	1	50	4.347826	0.468623	40.338570	0.883936	0.347126
(AA+Aa)*(BB)_vs_other	0	63	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	64	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	0	65	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	66	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	67	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	68	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	0	69	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	70	9	41	8	42	1.152439	0.405268	3.277131	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	0	71	9	41	8	42	1.152439	0.405268	3.277131	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	0	72	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	73	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	74	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	75	5	45	4	46	1.277778	0.322255	5.066535	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	0	76	4	46	1	49	4.260870	0.459089	39.545719	0.842105	0.358795
(AA+Aa)*(BB)_vs_other	0	77	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	78	1	50	3	47	0.313333	0.031478	3.118931	0.281364	0.595809
(AA+Aa)*(BB)_vs_other	0	79	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	80	3	47	3	47	1.000000	0.191931	5.210198	0.177305	0.673700
(AA+Aa)*(BB)_vs_other	0	81	6	44	4	46	1.568182	0.414345	5.935135	0.111111	0.738883
(AA+Aa)*(BB)_vs_other	0	82	3	47	2	48	1.531915	0.244789	9.586875	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	0	83	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	0	84	6	44	4	46	1.568182	0.414345	5.935135	0.111111	0.738883
(AA+Aa)*(BB)_vs_other	0	85	6	44	4	46	1.568182	0.414345	5.935135	0.111111	0.738883
(AA+Aa)*(BB)_vs_other	0	86	6	44	4	46	1.568182	0.414345	5.935135	0.111111	0.738883
(AA+Aa)*(BB)_vs_other	0	87	6	44	4	46	1.568182	0.414345	5.935135	0.111111	0.738883
(AA+Aa)*(BB)_vs_other	0	88	6	44	4	46	1.568182	0.414345	5.935135	0.111111	0.738883
(AA+Aa)*(BB)_vs_other	0	89	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
(AA+Aa)*(BB)_vs_other	0	90	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
(AA+Aa)*(BB)_vs_other	0	91	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
(AA+Aa)*(BB)_vs_other	0	92	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
(AA+Aa)*(BB)_vs_other	0	93	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
(AA+Aa)*(BB)_vs_other	0	94	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
(AA+Aa)*(BB)_vs_other	0	95	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
(AA+Aa)*(BB)_vs_other	0	96	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
(AA+Aa)*(BB)_vs_other	0	97	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	98	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
(AA+Aa)*(BB)_vs_other	0	99	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	1	2	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
(AA+Aa)*(BB)_vs_other	1	3	8	42	4	46	2.190476	0.614507	7.808193	0.852273	0.355910
(AA+Aa)*(BB)_vs_other	1	4	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
(AA+Aa)*(BB)_vs_other	1	5	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	1	6	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	1	7	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	1	8	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	1	9	8	42	4	46	2.190476	0.614507	7.808193	0.852273	0.355910
(AA+Aa)*(BB)_vs_other	1	10	1	50	3	47	0.313333	0.031478	3.118931	0.281364	0.595809
(AA+Aa)*(BB)_vs_other	1	11	3	47	5	45	0.574468	0.129650	2.545428	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	1	12	9	41	4	46	2.524390	0.722685	8.817879	1.414677	0.234281
(AA+Aa)*(BB)_vs_other	1	13	7	43	2	48	3.906977	0.769721	19.831179	1.953602	0.162199
(AA+Aa)*(BB)_vs_other	1	14	12	38	6	44	2.315789	0.792889	6.763722	1.693767	0.193105
(AA+Aa)*(BB)_vs_other	1	15	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	16	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	17	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	1	18	1	49	4	46	0.234694	0.025287	2.178226	0.842105	0.358795
(AA+Aa)*(BB)_vs_other	1	19	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
(AA+Aa)*(BB)_vs_other	1	20	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
(AA+Aa)*(BB)_vs_other	1	21	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
(AA+Aa)*(BB)_vs_other	1	22	8	42	4	46	2.190476	0.614507	7.808193	0.852273	0.355910
(AA+Aa)*(BB)_vs_other	1	23	8	42	4	46	2.190476	0.614507	7.808193	0.852273	0.355910
(AA+Aa)*(BB)_vs_other	1	24	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	25	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	26	9	41	6	44	1.609756	0.526708	4.919833	0.313726	0.575403
(AA+Aa)*(BB)_vs_other	1	27	1	49	2	48	0.489796	0.042979	5.581791	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	1	28	10	40	6	44	1.833333	0.610881	5.502070	0.669643	0.413176
(AA+Aa)*(BB)_vs_other	1	29	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	1	30	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	31	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	32	10	40	6	44	1.833333	0.610881	5.502070	0.669643	0.413176
(AA+Aa)*(BB)_vs_other	1	33	9	41	6	44	1.609756	0.526708	4.919833	0.313726	0.575403
(AA+Aa)*(BB)_vs_other	1	34	10	40	6	44	1.833333	0.610881	5.502070	0.669643	0.413176
(AA+Aa)*(BB)_vs_other	1	35	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	36	10	40	6	44	1.833333	0.610881	5.502070	0.669643	0.413176
(AA+Aa)*(BB)_vs_other	1	37	10	40	6	44	1.833333	0.610881	5.502070	0.669643	0.413176
(AA+Aa)*(BB)_vs_other	1	38	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	1	39	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	40	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	41	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	1	42	8	42	7	43	1.170068	0.389516	3.514769	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	1	43	1	49	4	46	0.234694	0.025287	2.178226	0.842105	0.358795
(AA+Aa)*(BB)_vs_other	1	44	7	43	1	50	8.139535	0.962829	68.809769	3.502539	0.061275
(AA+Aa)*(BB)_vs_other	1	45	1	49	2	48	0.489796	0.042979	5.581791	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	1	46	4	46	1	50	4.347826	0.468623	40.338570	0.883936	0.347126
(AA+Aa)*(BB)_vs_other	1	47	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	48	1	49	3	47	0.319728	0.032109	3.183668	0.260417	0.609834
(AA+Aa)*(BB)_vs_other	1	49	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	50	4	46	6	44	0.637681	0.168488	2.413447	0.111111	0.738883
(AA+Aa)*(BB)_vs_other	1	51	1	49	4	46	0.234694	0.025287	2.178226	0.842105	0.358795
(AA+Aa)*(BB)_vs_other	1	52	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	53	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	54	1	49	3	47	0.319728	0.032109	3.183668	0.260417	0.609834
(AA+Aa)*(BB)_vs_other	1	55	1	49	4	46	0.234694	0.025287	2.178226	0.842105	0.358795
(AA+Aa)*(BB)_vs_other	1	56	9	41	5	45	1.975610	0.611770	6.379904	0.747508	0.387266
(AA+Aa)*(BB)_vs_other	1	57	2	48	4	46	0.479167	0.083691	2.743442	0.177305	0.673700
(AA+Aa)*(BB)_vs_other	1	58	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	1	59	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	1	60	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	1	61	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	1	62	12	38	8	42	1.657895	0.612080	4.490615	0.562500	0.453255
(AA+Aa)*(BB)_vs_other	1	63	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	1	64	1	49	4	46	0.234694	0.025287	2.178226	0.842105	0.358795
(AA+Aa)*(BB)_vs_other	1	65	6	44	1	49	6.681818	0.773806	57.697495	2.457757	0.116946
(AA+Aa)*(BB)_vs_other	1	66	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	1	67	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	1	68	1	49	4	46	0.234694	0.025287	2.178226	0.842105	0.358795
(AA+Aa)*(BB)_vs_other	1	69	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	1	70	7	43	7	43	1.000000	0.323122	3.094806	0.083056	0.773197
(AA+Aa)*(BB)_vs_other	1	71	7	43	7	43	1.000000	0.323122	3.094806	0.083056	0.773197
(AA+Aa)*(BB)_vs_other	1	72	1	50	4	46	0.230000	0.024790	2.133910	0.883936	0.347126
(AA+Aa)*(BB)_vs_other	1	73	1	50	4	46	0.230000	0.024790	2.133910	0.883936	0.347126
(AA+Aa)*(BB)_vs_other	1	74	1	50	4	46	0.230000	0.024790	2.133910	0.883936	0.347126
(AA+Aa)*(BB)_vs_other	1	75	3	47	3	47	1.000000	0.191931	5.210198	0.177305	0.673700
(AA+Aa)*(BB)_vs_other	1	76	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	1	77	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
(AA+Aa)*(BB)_vs_other	1	78	6	44	4	46	1.568182	0.414345	5.935135	0.111111	0.738883
(AA+Aa)*(BB)_vs_other	1	79	1	50	3	47	0.313333	0.031478	3.118931	0.281364	0.595809
(AA+Aa)*(BB)_vs_other	1	80	2	48	7	43	0.255952	0.050426	1.299173	1.953602	0.162199
(AA+Aa)*(BB)_vs_other	1	81	9	41	9	41	1.000000	0.360474	2.774125	0.067751	0.794640
(AA+Aa)*(BB)_vs_other	1	82	5	45	6	44	0.814815	0.231708	2.865346	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	1	83	5	45	7	43	0.682540	0.201224	2.315139	0.094697	0.758289
(AA+Aa)*(BB)_vs_other	1	84	6	44	9	41	0.621212	0.203259	1.898586	0.313726	0.575403
(AA+Aa)*(BB)_vs_other	1	85	6	44	9	41	0.621212	0.203259	1.898586	0.313726	0.575403
(AA+Aa)*(BB)_vs_other	1	86	6	44	9	41	0.621212	0.203259	1.898586	0.313726	0.575403
(AA+Aa)*(BB)_vs_other	1	87	6	44	9	41	0.621212	0.203259	1.898586	0.313726	0.575403
(AA+Aa)*(BB)_vs_other	1	88	6	44	9	41	0.621212	0.203259	1.898586	0.313726	0.575403
(AA+Aa)*(BB)_vs_other	1	89	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	1	90	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
(AA+Aa)*(BB)_vs_other	1	91	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	1	92	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	1	93	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	1	94	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	1	95	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	1	96	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	1	97	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
(AA+Aa)*(BB)_vs_other	1	98	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	1	99	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	2	3	9	41	4	46	2.524390	0.722685	8.817879	1.414677	0.234281
(AA+Aa)*(BB)_vs_other	2	4	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
(AA+Aa)*(BB)_vs_other	2	5	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	2	6	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	2	7	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	2	8	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	2	9	9	41	4	46	2.524390	0.722685	8.817879	1.414677	0.234281
(AA+Aa)*(BB)_vs_other	2	10	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	2	11	2	48	4	46	0.479167	0.083691	2.743442	0.177305	0.673700
(AA+Aa)*(BB)_vs_other	2	12	9	41	4	46	2.524390	0.722685	8.817879	1.414677	0.234281
(AA+Aa)*(BB)_vs_other	2	13	7	43	2	48	3.906977	0.769721	19.831179	1.953602	0.162199
(AA+Aa)*(BB)_vs_other	2	14	12	38	6	44	2.315789	0.792889	6.763722	1.693767	0.193105
(AA+Aa)*(BB)_vs_other	2	15	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	2	16	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	2	17	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	2	18	1	50	3	47	0.313333	0.031478	3.118931	0.281364	0.595809
(AA+Aa)*(BB)_vs_other	2	19	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
(AA+Aa)*(BB)_vs_other	2	20	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
(AA+Aa)*(BB)_vs_other	2	21	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
(AA+Aa)*(BB)_vs_other	2	22	8	42	4	46	2.190476	0.614507	7.808193	0.852273	0.355910
(AA+Aa)*(BB)_vs_other	2	23	8	42	4	46	2.190476	0.614507	7.808193	0.852273	0.355910
(AA+Aa)*(BB)_vs_other	2	24	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	2	25	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	2	26	9	41	6	44	1.609756	0.526708	4.919833	0.313726	0.575403
(AA+Aa)*(BB)_vs_other	2	27	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	2	28	10	40	6	44	1.833333	0.610881	5.502070	0.669643	0.413176
(AA+Aa)*(BB)_vs_other	2	29	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	2	30	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	2	31	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
(AA+Aa)*(BB)_vs_other	2	32	10	40	6	44	1.833333	0.610881	5.502070	0.669643	0.413176
(AA+Aa)*(BB)_vs_other	2	33	9	41	6	44	1.609756	0.526708	4.919833	0.313726	0.575403
(AA+Aa)*(BB)_vs_other	2	34	11	39	6	44	2.068376	0.699524	6.115846	1.133948	0.286935
(AA+Aa)*(BB)_vs_other	2	35	11	39	7	43	1.732601	0.611139	4.911987	0.609756	0.434880
(AA+Aa)*(BB)_vs_other	2	36	11	39	6	44	2.068376	0.699524	6.115846	1.133948	0.286935
(AA+Aa)*(BB)_vs_other	2	37	11	39	6	44	2.068376	0.699524	6.115846	1.133948	0.286935
(AA+Aa)*(BB)_vs_other	2	38	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
(AA+Aa)*(BB)_vs_other	2	39	11	39	7	43	1.732601	0.611139	4.911987	0.609756	0.434880
(AA+Aa)*(BB)_vs_other	2	40	11	39	7	43	1.732601	0.611139	4.911987	0.609756	0.434880
(AA+Aa)*(BB)_vs_other	2	41	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	2	42	9	41	7	43	1.348432	0.459563	3.956514	0.074405	0.785028
(AA+Aa)*(BB)_vs_other	2	43	1	50	3	47	0.313333	0.031478	3.118931	0.281364	0.595809
(AA+Aa)*(BB)_vs_other	2	44	7	43	1	50	8.139535	0.962829	68.809769	3.502539	0.061275
(AA+Aa)*(BB)_vs_other	2	45	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	2	46	4	46	1	50	4.347826	0.468623	40.338570	0.883936	0.347126
(AA+Aa)*(BB)_vs_other	2	47	11	39	7	43	1.732601	0.611139	4.911987	0.609756	0.434880
(AA+Aa)*(BB)_vs_other	2	48	1	50	2	48	0.480000	0.042133	5.468393	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	2	49	11	39	7	43	1.732601	0.611139	4.911987	0.609756	0.434880
(AA+Aa)*(BB)_vs_other	2	50	2	48	5	45	0.375000	0.069227	2.031357	0.614439	0.433121
(AA+Aa)*(BB)_vs_other	2	51	1	50	3	47	0.313333	0.031478	3.118931	0.281364	0.595809
(AA+Aa)*(BB)_vs_other	2	52	11	39	7	43	1.732601	0.611139	4.911987	0.609756	0.434880
(AA+Aa)*(BB)_vs_other	2	53	11	39	7	43	1.732601	0.611139	4.911987	0.609756	0.434880
