Model	SNP1	SNP2	a	b	c	d	OR	Lower_CI	Upper_CI	chi_square	chi_pvalue
AA*bb_vs_other	0	29	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	30	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	31	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	32	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	33	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	34	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	35	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	36	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	37	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	38	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	39	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	40	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	41	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	42	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	43	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	44	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	45	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	46	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	47	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	48	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	49	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	50	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	51	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	52	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	53	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	54	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	55	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	56	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	57	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	58	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	59	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	60	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	61	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	62	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	63	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	64	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	65	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	66	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	67	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	68	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	69	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	70	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	71	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	72	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	73	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	74	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	75	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	76	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	77	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	78	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	79	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	80	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	81	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	82	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	83	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	84	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	85	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	86	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	87	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	88	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	89	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	90	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	91	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	92	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	93	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	94	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	95	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	96	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	97	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	98	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	0	99	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	2	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	3	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	4	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	5	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
AA*bb_vs_other	1	6	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
AA*bb_vs_other	1	7	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
AA*bb_vs_other	1	8	8	42	4	46	2.190476	0.614507	7.808193	0.852273	0.355910
AA*bb_vs_other	1	9	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	10	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	1	11	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
AA*bb_vs_other	1	12	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	13	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	14	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	15	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	16	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	17	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	18	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
AA*bb_vs_other	1	19	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	20	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	21	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	22	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	23	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	24	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	25	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	26	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	27	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	1	28	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	29	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	30	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	31	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	32	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	33	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	34	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	35	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	36	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	37	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	38	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	39	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	40	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	41	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	1	42	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	43	7	43	2	48	3.906977	0.769721	19.831179	1.953602	0.162199
AA*bb_vs_other	1	44	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	45	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	1	46	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	47	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	48	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	1	49	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	50	6	44	1	49	6.681818	0.773806	57.697495	2.457757	0.116946
AA*bb_vs_other	1	51	7	43	2	48	3.906977	0.769721	19.831179	1.953602	0.162199
AA*bb_vs_other	1	52	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	53	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	54	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	1	55	7	43	2	48	3.906977	0.769721	19.831179	1.953602	0.162199
AA*bb_vs_other	1	56	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	57	7	43	1	49	7.976744	0.943226	67.458336	3.396739	0.065325
AA*bb_vs_other	1	58	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	1	59	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	60	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	61	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	62	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	63	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	64	7	43	2	48	3.906977	0.769721	19.831179	1.953602	0.162199
AA*bb_vs_other	1	65	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	66	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	67	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	1	68	7	43	2	48	3.906977	0.769721	19.831179	1.953602	0.162199
AA*bb_vs_other	1	69	7	43	4	46	1.872093	0.511769	6.848275	0.408580	0.522691
AA*bb_vs_other	1	70	4	46	1	50	4.347826	0.468623	40.338570	0.883936	0.347126
AA*bb_vs_other	1	71	4	46	1	50	4.347826	0.468623	40.338570	0.883936	0.347126
AA*bb_vs_other	1	72	7	43	4	46	1.872093	0.511769	6.848275	0.408580	0.522691
AA*bb_vs_other	1	73	7	43	4	46	1.872093	0.511769	6.848275	0.408580	0.522691
AA*bb_vs_other	1	74	7	43	4	46	1.872093	0.511769	6.848275	0.408580	0.522691
AA*bb_vs_other	1	75	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	1	76	8	42	5	45	1.714286	0.519501	5.656917	0.353669	0.552043
AA*bb_vs_other	1	77	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	1	78	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	1	79	8	42	4	46	2.190476	0.614507	7.808193	0.852273	0.355910
AA*bb_vs_other	1	80	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	1	81	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
AA*bb_vs_other	1	82	2	48	3	47	0.652778	0.104309	4.085148	0.000000	1.000000
AA*bb_vs_other	1	83	2	48	3	47	0.652778	0.104309	4.085148	0.000000	1.000000
AA*bb_vs_other	1	84	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	1	85	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	1	86	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	1	87	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	1	88	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	1	89	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
AA*bb_vs_other	1	90	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
AA*bb_vs_other	1	91	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
AA*bb_vs_other	1	92	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
AA*bb_vs_other	1	93	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
AA*bb_vs_other	1	94	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
AA*bb_vs_other	1	95	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
AA*bb_vs_other	1	96	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
AA*bb_vs_other	1	97	3	47	4	46	0.734043	0.155614	3.462529	0.000000	1.000000
AA*bb_vs_other	1	98	2	48	1	49	2.041667	0.179154	23.267157	0.000000	1.000000
AA*bb_vs_other	1	99	2	48	3	47	0.652778	0.104309	4.085148	0.000000	1.000000
AA*bb_vs_other	2	3	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	4	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	2	5	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	2	6	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	2	7	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	2	8	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	2	9	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	2	10	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	2	11	5	45	2	48	2.666667	0.492282	14.445203	0.614439	0.433121
AA*bb_vs_other	2	12	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	13	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	14	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	15	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	16	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	17	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	18	6	44	1	49	6.681818	0.773806	57.697495	2.457757	0.116946
AA*bb_vs_other	2	19	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	20	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	21	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	22	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	23	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	24	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	25	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	26	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	27	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	2	28	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	29	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	30	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	31	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	32	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	33	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	34	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	35	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	36	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	37	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	38	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	39	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	40	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	41	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	2	42	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	43	7	43	2	48	3.906977	0.769721	19.831179	1.953602	0.162199
AA*bb_vs_other	2	44	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	45	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	2	46	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	47	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	48	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	2	49	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	50	5	45	1	49	5.444445	0.612454	48.398708	1.595745	0.206507
AA*bb_vs_other	2	51	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
AA*bb_vs_other	2	52	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	53	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	54	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	2	55	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
AA*bb_vs_other	2	56	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	57	6	44	1	49	6.681818	0.773806	57.697495	2.457757	0.116946
AA*bb_vs_other	2	58	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	2	59	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	60	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	61	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	62	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	63	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	64	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
AA*bb_vs_other	2	65	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	66	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	67	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
AA*bb_vs_other	2	68	6	44	2	48	3.272727	0.627403	17.071550	1.222826	0.268807
AA*bb_vs_other	2	69	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	2	70	5	45	1	50	5.555555	0.625177	49.368713	1.658683	0.197781
AA*bb_vs_other	2	71	5	45	1	50	5.555555	0.625177	49.368713	1.658683	0.197781
AA*bb_vs_other	2	72	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	2	73	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	2	74	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
AA*bb_vs_other	2	75	5	45	1	49	5.444445	0.612454	48.398708	1.595745	0.206507
AA*bb_vs_other	2	76	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	2	77	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	2	78	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	2	79	7	43	3	47	2.550388	0.619952	10.491899	1.000000	0.317311
AA*bb_vs_other	2	80	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	2	81	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
AA*bb_vs_other	2	82	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	2	83	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	2	84	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	2	85	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	2	86	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	2	87	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	2	88	2	48	2	48	1.000000	0.135279	7.392135	0.260417	0.609834
AA*bb_vs_other	2	89	3	47	1	49	3.127660	0.314103	31.143450	0.260417	0.609834
AA*bb_vs_other	2	90	3	47	1	49	3.127660	0.314103	31.143450	0.260417	0.609834
AA*bb_vs_other	2	91	3	47	1	49	3.127660	0.314103	31.143450	0.260417	0.609834
AA*bb_vs_other	2	92	3	47	1	49	3.127660	0.314103	31.143450	0.260417	0.609834
AA*bb_vs_other	2	93	3	47	1	49	3.127660	0.314103	31.143450	0.260417	0.609834
AA*bb_vs_other	2	94	3	47	1	49	3.127660	0.314103	31.143450	0.260417	0.609834
