Model	Marker1	Marker2	a	b	c	d	OR	Lower_CI	Upper_CI	chi_square	chi_pvalue
aa*bb_vs_other	rs1019916	rs11249206	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs9363764	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs2032088	6	44	12	38	0.431818	0.147848	1.261211	1.693767	0.193105
aa*bb_vs_other	rs1019916	rs348937	25	25	17	33	1.941176	0.866966	4.346384	2.011494	0.156112
aa*bb_vs_other	rs1019916	rs1467387	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs4742386	8	42	22	28	0.242424	0.094703	0.620564	8.047619	0.004556
aa*bb_vs_other	rs1019916	rs2857639	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs1495031	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs1510480	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs7746156	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs1945975	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs966367	4	46	11	39	0.3083	0.090898	1.045663	2.823529	0.092892
aa*bb_vs_other	rs1019916	rs877309	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs4331560	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs10796216	12	38	23	27	0.370709	0.157702	0.871427	4.395605	0.036032
aa*bb_vs_other	rs1019916	rs1040870	5	45	13	37	0.316239	0.103246	0.968632	3.319783	0.068451
aa*bb_vs_other	rs1019916	rs10936224	5	45	11	39	0.393939	0.125888	1.232745	1.860119	0.172611
aa*bb_vs_other	rs1019916	rs213028	21	29	20	30	1.086207	0.48943	2.41065	0	1
aa*bb_vs_other	rs1019916	rs654498	4	46	11	39	0.3083	0.090898	1.045663	2.823529	0.092892
aa*bb_vs_other	rs1019916	rs13369115	16	34	11	39	1.668449	0.681816	4.082804	0.811771	0.367597
aa*bb_vs_other	rs1019916	rs10033147	12	38	23	27	0.370709	0.157702	0.871427	4.395605	0.036032
aa*bb_vs_other	rs1019916	rs3936238	23	27	18	32	1.514403	0.679285	3.376221	0.66143	0.416055
aa*bb_vs_other	rs1019916	rs1520670	12	38	23	27	0.370709	0.157702	0.871427	4.395605	0.036032
aa*bb_vs_other	rs1019916	rs6991394	5	45	11	39	0.393939	0.125888	1.232745	1.860119	0.172611
aa*bb_vs_other	rs1019916	rs2208123	20	30	14	36	1.714286	0.741999	3.960617	1.114082	0.291196
aa*bb_vs_other	rs1019916	rs10774834	5	45	11	39	0.393939	0.125888	1.232745	1.860119	0.172611
aa*bb_vs_other	rs1019916	rs5936512	9	41	1	49	10.756098	1.307626	88.476082	5.444445	0.019631
aa*bb_vs_other	rs1019916	rs6626309	15	35	11	39	1.51948	0.61654	3.744804	0.467775	0.494012
aa*bb_vs_other	rs1019916	rs5987737	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs715359	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs2385226	20	30	14	36	1.714286	0.741999	3.960617	1.114082	0.291196
aa*bb_vs_other	rs1019916	rs11034952	15	35	11	39	1.51948	0.61654	3.744804	0.467775	0.494012
aa*bb_vs_other	rs1019916	rs1414097	10	40	16	34	0.53125	0.213233	1.323558	1.299376	0.254327
aa*bb_vs_other	rs1019916	rs951295	12	38	8	42	1.657895	0.61208	4.490615	0.5625	0.453255
aa*bb_vs_other	rs1019916	rs10882854	25	25	18	32	1.777778	0.798408	3.958496	1.468788	0.225537
aa*bb_vs_other	rs1019916	rs10846239	12	38	23	27	0.370709	0.157702	0.871427	4.395605	0.036032
aa*bb_vs_other	rs1019916	rs6471533	12	38	23	27	0.370709	0.157702	0.871427	4.395605	0.036032
aa*bb_vs_other	rs1019916	rs5926356	5	45	12	38	0.351852	0.11376	1.088257	2.551382	0.110198
aa*bb_vs_other	rs1019916	rs5381179	5	45	11	39	0.393939	0.125888	1.232745	1.860119	0.172611
aa*bb_vs_other	rs1019916	rs4836002	8	42	23	27	0.223602	0.087468	0.571619	9.16316	0.002469
aa*bb_vs_other	rs1019916	rs4290825	15	35	11	39	1.51948	0.61654	3.744804	0.467775	0.494012
aa*bb_vs_other	rs1019916	rs3745648	12	38	23	27	0.370709	0.157702	0.871427	4.395605	0.036032
aa*bb_vs_other	rs1019916	rs3200471	8	42	22	28	0.242424	0.094703	0.620564	8.047619	0.004556
aa*bb_vs_other	rs1019916	rs2655294	12	38	23	27	0.370709	0.157702	0.871427	4.395605	0.036032
aa*bb_vs_other	rs1019916	rs2110117	15	35	11	39	1.51948	0.61654	3.744804	0.467775	0.494012
aa*bb_vs_other	rs1019916	rs1564940	25	25	18	32	1.777778	0.798408	3.958496	1.468788	0.225537
aa*bb_vs_other	rs1019916	rs1019763	9	41	1	49	10.756098	1.307626	88.476082	5.444445	0.019631
aa*bb_vs_other	rs1019916	rs474586	9	41	1	49	10.756098	1.307626	88.476082	5.444445	0.019631
aa*bb_vs_other	rs1019916	rs70591	25	25	19	31	1.631579	0.736135	3.61625	1.01461	0.313801
aa*bb_vs_other	rs1019916	rs615768	25	25	19	31	1.631579	0.736135	3.61625	1.01461	0.313801
aa*bb_vs_other	rs1019916	rs1160945	24	26	19	31	1.506073	0.679299	3.33911	0.652795	0.419115
aa*bb_vs_other	rs1019916	rs1706122	13	37	9	41	1.600601	0.613409	4.176531	0.524476	0.468939
aa*bb_vs_other	rs1019916	rs2251299	20	30	15	35	1.555556	0.679486	3.561152	0.703297	0.401678
aa*bb_vs_other	rs1019916	rs2796476	9	41	16	34	0.466463	0.183185	1.187804	1.92	0.165857
aa*bb_vs_other	rs1019916	rs3341653	8	42	14	36	0.489796	0.184544	1.299964	1.456877	0.227428
aa*bb_vs_other	rs1019916	rs3886830	22	28	19	31	1.281955	0.576766	2.849352	0.165358	0.684271
aa*bb_vs_other	rs1019916	rs4432007	10	40	11	39	0.886364	0.338266	2.322555	0	1
aa*bb_vs_other	rs1019916	rs4977184	5	45	6	44	0.814815	0.231708	2.865346	0	1
aa*bb_vs_other	rs1019916	rs5522361	10	40	11	39	0.886364	0.338266	2.322555	0	1
aa*bb_vs_other	rs1019916	rs6067538	10	40	11	39	0.886364	0.338266	2.322555	0	1
aa*bb_vs_other	rs1019916	rs6612715	8	42	10	40	0.761905	0.273203	2.124788	0.067751	0.79464
aa*bb_vs_other	rs1019916	rs7157892	8	42	10	40	0.761905	0.273203	2.124788	0.067751	0.79464
aa*bb_vs_other	rs1019916	rs7703069	8	42	10	40	0.761905	0.273203	2.124788	0.067751	0.79464
aa*bb_vs_other	rs1019916	rs8248246	8	42	10	40	0.761905	0.273203	2.124788	0.067751	0.79464
aa*bb_vs_other	rs1019916	rs8793423	8	42	10	40	0.761905	0.273203	2.124788	0.067751	0.79464
aa*bb_vs_other	rs1019916	rs9338600	7	43	12	38	0.515504	0.184175	1.442886	1.039636	0.307906
aa*bb_vs_other	rs1019916	rs9883777	6	44	9	41	0.621212	0.203259	1.898586	0.313726	0.575403
aa*bb_vs_other	rs1019916	rs10428954	8	42	12	38	0.603175	0.222687	1.633774	0.5625	0.453255
aa*bb_vs_other	rs1019916	rs10974131	8	42	12	38	0.603175	0.222687	1.633774	0.5625	0.453255
aa*bb_vs_other	rs1019916	rs11519308	8	42	12	38	0.603175	0.222687	1.633774	0.5625	0.453255
aa*bb_vs_other	rs1019916	rs12064485	8	42	12	38	0.603175	0.222687	1.633774	0.5625	0.453255
aa*bb_vs_other	rs1019916	rs12609662	8	42	12	38	0.603175	0.222687	1.633774	0.5625	0.453255
aa*bb_vs_other	rs1019916	rs13154839	8	42	12	38	0.603175	0.222687	1.633774	0.5625	0.453255
aa*bb_vs_other	rs1019916	rs13700016	22	28	27	23	0.669312	0.304337	1.471983	0.640256	0.423618
aa*bb_vs_other	rs1019916	rs14245193	8	42	13	37	0.542125	0.202371	1.45228	0.964436	0.326072
aa*bb_vs_other	rs1019916	rs14790370	17	33	23	27	0.604743	0.269758	1.35571	1.041667	0.307434
aa*bb_vs_other	rs10457834	rs1416770	23	27	29	21	0.616858	0.27985	1.359708	1.001603	0.316923
aa*bb_vs_other	rs10457834	rs1941955	23	27	29	21	0.616858	0.27985	1.359708	1.001603	0.316923
aa*bb_vs_other	rs10457834	rs2125573	20	30	25	25	0.666667	0.301921	1.472055	0.646465	0.42138
aa*bb_vs_other	rs10457834	rs2235751	14	36	13	37	1.106838	0.457526	2.677639	0	1
aa*bb_vs_other	rs10457834	rs2521373	14	36	12	38	1.231481	0.502824	3.016061	0.051975	0.819661
aa*bb_vs_other	rs10457834	rs264581	15	35	14	36	1.102041	0.464351	2.615467	0	1
aa*bb_vs_other	rs10457834	rs2804694	15	35	24	26	0.464286	0.204326	1.054988	2.690206	0.100967
aa*bb_vs_other	rs10457834	rs2959823	14	36	20	30	0.583333	0.252486	1.34771	1.114082	0.291196
aa*bb_vs_other	rs10457834	rs5931272	7	43	8	42	0.854651	0.284514	2.567288	0	1
aa*bb_vs_other	rs10457834	rs6546473	3	47	3	47	1	0.191931	5.210198	0.177305	0.6737
aa*bb_vs_other	rs10457834	rs739259	10	40	16	34	0.53125	0.213233	1.323558	1.299376	0.254327
aa*bb_vs_other	rs10457834	rs798149	12	38	20	30	0.473684	0.20024	1.120538	2.251838	0.133456
aa*bb_vs_other	rs10457834	rs845016	8	42	9	41	0.867725	0.305145	2.467504	0	1
aa*bb_vs_other	rs10457834	rs472920	9	41	12	38	0.695122	0.263391	1.834516	0.241109	0.623406
aa*bb_vs_other	rs10457834	rs133860	9	41	12	38	0.695122	0.263391	1.834516	0.241109	0.623406
aa*bb_vs_other	rs10457834	rs9839873	18	32	26	24	0.519231	0.233117	1.156503	1.988636	0.158484
aa*bb_vs_other	rs10457834	rs1484127	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs10457834	rs1510189	9	41	17	33	0.426112	0.168302	1.078841	2.546777	0.110519
aa*bb_vs_other	rs10457834	rs6426327	9	41	17	33	0.426112	0.168302	1.078841	2.546777	0.110519
aa*bb_vs_other	rs10457834	rs3818562	9	41	17	33	0.426112	0.168302	1.078841	2.546777	0.110519
aa*bb_vs_other	rs10457834	rs7660805	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs10457834	rs6982811	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs10457834	rs11249206	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs9363764	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs2032088	12	38	14	36	0.81203	0.331558	1.988769	0.051975	0.819661
aa*bb_vs_other	rs10457834	rs348937	14	36	10	40	1.555556	0.614937	3.934962	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs1467387	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs4742386	13	37	24	26	0.380631	0.16417	0.882496	4.290004	0.038337
aa*bb_vs_other	rs10457834	rs2857639	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs1495031	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs1510480	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs7746156	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs1945975	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs966367	9	41	13	37	0.624765	0.239433	1.630233	0.524476	0.468939
aa*bb_vs_other	rs10457834	rs877309	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs4331560	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs10796216	18	32	26	24	0.519231	0.233117	1.156503	1.988636	0.158484
aa*bb_vs_other	rs10457834	rs1040870	10	40	15	35	0.583333	0.232512	1.463488	0.853333	0.355611
aa*bb_vs_other	rs10457834	rs10936224	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs213028	14	36	12	38	1.231481	0.502824	3.016061	0.051975	0.819661
aa*bb_vs_other	rs10457834	rs654498	9	41	13	37	0.624765	0.239433	1.630233	0.524476	0.468939
aa*bb_vs_other	rs10457834	rs13369115	6	44	5	45	1.227273	0.348998	4.315779	0	1
aa*bb_vs_other	rs10457834	rs10033147	18	32	26	24	0.519231	0.233117	1.156503	1.988636	0.158484
aa*bb_vs_other	rs10457834	rs3936238	13	37	11	39	1.2457	0.496254	3.126968	0.054825	0.814871
aa*bb_vs_other	rs10457834	rs1520670	18	32	26	24	0.519231	0.233117	1.156503	1.988636	0.158484
aa*bb_vs_other	rs10457834	rs6991394	10	40	13	37	0.711538	0.278549	1.817586	0.225861	0.63461
aa*bb_vs_other	rs10457834	rs2208123	11	39	7	43	1.732601	0.611139	4.911987	0.609756	0.43488
aa*bb_vs_other	rs10457834	rs10774834	10	40	13	37	0.711538	0.278549	1.817586	0.225861	0.63461
aa*bb_vs_other	rs10457834	rs5936512	1	49	1	49	1	0.06081	16.444649	0.510204	0.475051
aa*bb_vs_other	rs10457834	rs6626309	6	44	5	45	1.227273	0.348998	4.315779	0	1
aa*bb_vs_other	rs10457834	rs5987737	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs715359	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs2385226	11	39	7	43	1.732601	0.611139	4.911987	0.609756	0.43488
aa*bb_vs_other	rs10457834	rs11034952	6	44	5	45	1.227273	0.348998	4.315779	0	1
aa*bb_vs_other	rs10457834	rs1414097	16	34	19	31	0.767802	0.336768	1.750519	0.175824	0.674987
aa*bb_vs_other	rs10457834	rs951295	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs10457834	rs10882854	14	36	11	39	1.378788	0.554767	3.426765	0.213333	0.644167
aa*bb_vs_other	rs10457834	rs10846239	18	32	26	24	0.519231	0.233117	1.156503	1.988636	0.158484
aa*bb_vs_other	rs10457834	rs6471533	18	32	26	24	0.519231	0.233117	1.156503	1.988636	0.158484
aa*bb_vs_other	rs10457834	rs5926356	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs10457834	rs5381179	10	40	13	37	0.711538	0.278549	1.817586	0.225861	0.63461
aa*bb_vs_other	rs10457834	rs4836002	14	36	25	25	0.388889	0.169622	0.891599	4.203447	0.040342
aa*bb_vs_other	rs10457834	rs4290825	6	44	5	45	1.227273	0.348998	4.315779	0	1
aa*bb_vs_other	rs10457834	rs3745648	18	32	26	24	0.519231	0.233117	1.156503	1.988636	0.158484
aa*bb_vs_other	rs10457834	rs3200471	13	37	24	26	0.380631	0.16417	0.882496	4.290004	0.038337
aa*bb_vs_other	rs10457834	rs2655294	18	32	26	24	0.519231	0.233117	1.156503	1.988636	0.158484
aa*bb_vs_other	rs10457834	rs2110117	6	44	5	45	1.227273	0.348998	4.315779	0	1
aa*bb_vs_other	rs10457834	rs1564940	14	36	11	39	1.378788	0.554767	3.426765	0.213333	0.644167
aa*bb_vs_other	rs10457834	rs1019763	3	47	1	49	3.12766	0.314103	31.14345	0.260417	0.609834
aa*bb_vs_other	rs10457834	rs474586	3	47	1	49	3.12766	0.314103	31.14345	0.260417	0.609834
aa*bb_vs_other	rs10457834	rs70591	14	36	12	38	1.231481	0.502824	3.016061	0.051975	0.819661
aa*bb_vs_other	rs10457834	rs615768	14	36	12	38	1.231481	0.502824	3.016061	0.051975	0.819661
aa*bb_vs_other	rs10457834	rs1160945	13	37	12	38	1.112613	0.449716	2.752639	0	1
aa*bb_vs_other	rs10457834	rs1706122	5	45	4	46	1.277778	0.322255	5.066535	0	1
aa*bb_vs_other	rs10457834	rs2251299	10	40	10	40	1	0.375311	2.664456	0.0625	0.802587
aa*bb_vs_other	rs10457834	rs2796476	13	37	16	34	0.746622	0.313605	1.777533	0.194269	0.659387
aa*bb_vs_other	rs10457834	rs3341653	11	39	13	37	0.802761	0.319799	2.015099	0.054825	0.814871
aa*bb_vs_other	rs10457834	rs3886830	14	36	15	35	0.907407	0.382341	2.153544	0	1
aa*bb_vs_other	rs10457834	rs4432007	12	38	10	40	1.263158	0.488791	3.264317	0.058275	0.809243
aa*bb_vs_other	rs10457834	rs4977184	6	44	5	45	1.227273	0.348998	4.315779	0	1
aa*bb_vs_other	rs10457834	rs5522361	10	40	10	40	1	0.375311	2.664456	0.0625	0.802587
aa*bb_vs_other	rs10457834	rs6067538	10	40	10	40	1	0.375311	2.664456	0.0625	0.802587
aa*bb_vs_other	rs10457834	rs6612715	9	41	9	41	1	0.360474	2.774125	0.067751	0.79464
aa*bb_vs_other	rs10457834	rs7157892	9	41	9	41	1	0.360474	2.774125	0.067751	0.79464
aa*bb_vs_other	rs10457834	rs7703069	9	41	9	41	1	0.360474	2.774125	0.067751	0.79464
aa*bb_vs_other	rs10457834	rs8248246	9	41	9	41	1	0.360474	2.774125	0.067751	0.79464
aa*bb_vs_other	rs10457834	rs8793423	9	41	9	41	1	0.360474	2.774125	0.067751	0.79464
aa*bb_vs_other	rs10457834	rs9338600	6	44	7	43	0.837662	0.260337	2.695269	0	1
aa*bb_vs_other	rs10457834	rs9883777	6	44	5	45	1.227273	0.348998	4.315779	0	1
aa*bb_vs_other	rs10457834	rs10428954	7	43	7	43	1	0.323122	3.094806	0.083056	0.773197
aa*bb_vs_other	rs10457834	rs10974131	7	43	7	43	1	0.323122	3.094806	0.083056	0.773197
aa*bb_vs_other	rs10457834	rs11519308	7	43	7	43	1	0.323122	3.094806	0.083056	0.773197
aa*bb_vs_other	rs10457834	rs12064485	7	43	7	43	1	0.323122	3.094806	0.083056	0.773197
aa*bb_vs_other	rs10457834	rs12609662	7	43	7	43	1	0.323122	3.094806	0.083056	0.773197
aa*bb_vs_other	rs10457834	rs13154839	7	43	7	43	1	0.323122	3.094806	0.083056	0.773197
aa*bb_vs_other	rs10457834	rs13700016	21	29	24	26	0.784483	0.356231	1.727567	0.161616	0.687673
aa*bb_vs_other	rs10457834	rs14245193	7	43	8	42	0.854651	0.284514	2.567288	0	1
aa*bb_vs_other	rs10457834	rs14790370	17	33	19	31	0.84051	0.37107	1.90384	0.043403	0.834969
aa*bb_vs_other	rs1416770	rs1941955	25	25	30	20	0.666667	0.301921	1.472055	0.646465	0.42138
aa*bb_vs_other	rs1416770	rs2125573	19	31	25	25	0.612903	0.27653	1.358446	1.01461	0.313801
aa*bb_vs_other	rs1416770	rs2235751	15	35	14	36	1.102041	0.464351	2.615467	0	1
aa*bb_vs_other	rs1416770	rs2521373	15	35	13	37	1.21978	0.508603	2.925392	0.049603	0.823755
aa*bb_vs_other	rs1416770	rs264581	16	34	15	35	1.098039	0.470299	2.563666	0	1
aa*bb_vs_other	rs1416770	rs2804694	16	34	25	25	0.470588	0.208789	1.060657	2.645721	0.103829
aa*bb_vs_other	rs1416770	rs2959823	15	35	20	30	0.642857	0.280808	1.4717	0.703297	0.401678
aa*bb_vs_other	rs1416770	rs5931272	6	44	8	42	0.715909	0.228997	2.238131	0.083056	0.773197
aa*bb_vs_other	rs1416770	rs6546473	3	47	3	47	1	0.191931	5.210198	0.177305	0.6737
aa*bb_vs_other	rs1416770	rs739259	11	39	17	33	0.547511	0.225088	1.331784	1.240079	0.265456
aa*bb_vs_other	rs1416770	rs798149	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs1416770	rs845016	9	41	9	41	1	0.360474	2.774125	0.067751	0.79464
aa*bb_vs_other	rs1416770	rs472920	10	40	13	37	0.711538	0.278549	1.817586	0.225861	0.63461
aa*bb_vs_other	rs1416770	rs133860	10	40	13	37	0.711538	0.278549	1.817586	0.225861	0.63461
aa*bb_vs_other	rs1416770	rs9839873	20	30	27	23	0.567901	0.256871	1.25554	1.445203	0.229299
aa*bb_vs_other	rs1416770	rs1484127	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs1416770	rs1510189	10	40	18	32	0.444444	0.18033	1.095387	2.430556	0.118991
aa*bb_vs_other	rs1416770	rs6426327	10	40	18	32	0.444444	0.18033	1.095387	2.430556	0.118991
aa*bb_vs_other	rs1416770	rs3818562	10	40	18	32	0.444444	0.18033	1.095387	2.430556	0.118991
aa*bb_vs_other	rs1416770	rs7660805	12	38	19	31	0.515235	0.217052	1.223061	1.683029	0.194522
aa*bb_vs_other	rs1416770	rs6982811	12	38	19	31	0.515235	0.217052	1.223061	1.683029	0.194522
aa*bb_vs_other	rs1416770	rs11249206	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs9363764	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs2032088	14	36	15	35	0.907407	0.382341	2.153544	0	1
aa*bb_vs_other	rs1416770	rs348937	13	37	10	40	1.405405	0.55018	3.590031	0.225861	0.63461
aa*bb_vs_other	rs1416770	rs1467387	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs4742386	14	36	25	25	0.388889	0.169622	0.891599	4.203447	0.040342
aa*bb_vs_other	rs1416770	rs2857639	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs1495031	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs1510480	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs7746156	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs1945975	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs966367	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs1416770	rs877309	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs4331560	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs10796216	20	30	27	23	0.567901	0.256871	1.25554	1.445203	0.229299
aa*bb_vs_other	rs1416770	rs1040870	11	39	16	34	0.599359	0.24493	1.466671	0.811771	0.367597
aa*bb_vs_other	rs1416770	rs10936224	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs213028	13	37	12	38	1.112613	0.449716	2.752639	0	1
aa*bb_vs_other	rs1416770	rs654498	10	40	14	36	0.642857	0.254132	1.626183	0.493421	0.482405
aa*bb_vs_other	rs1416770	rs13369115	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs1416770	rs10033147	20	30	27	23	0.567901	0.256871	1.25554	1.445203	0.229299
aa*bb_vs_other	rs1416770	rs3936238	12	38	11	39	1.119617	0.440785	2.843884	0	1
aa*bb_vs_other	rs1416770	rs1520670	20	30	27	23	0.567901	0.256871	1.25554	1.445203	0.229299
aa*bb_vs_other	rs1416770	rs6991394	11	39	14	36	0.725275	0.29182	1.802559	0.213333	0.644167
aa*bb_vs_other	rs1416770	rs2208123	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
aa*bb_vs_other	rs1416770	rs10774834	11	39	14	36	0.725275	0.29182	1.802559	0.213333	0.644167
aa*bb_vs_other	rs1416770	rs5936512	1	49	1	49	1	0.06081	16.444649	0.510204	0.475051
aa*bb_vs_other	rs1416770	rs6626309	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs1416770	rs5987737	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs715359	11	39	15	35	0.65812	0.267037	1.621955	0.467775	0.494012
aa*bb_vs_other	rs1416770	rs2385226	10	40	7	43	1.535714	0.533381	4.421643	0.283487	0.594425
aa*bb_vs_other	rs1416770	rs11034952	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs1416770	rs1414097	18	32	20	30	0.84375	0.375928	1.893751	0.042445	0.836774
aa*bb_vs_other	rs1416770	rs951295	2	48	4	46	0.479167	0.083691	2.743442	0.177305	0.6737
aa*bb_vs_other	rs1416770	rs10882854	13	37	11	39	1.2457	0.496254	3.126968	0.054825	0.814871
